depth,age
1.087399999999999949e+02,5.307876261764710080e+01
1.087650000000000006e+02,5.308107206617650320e+01
1.087900000000000063e+02,5.308338151470589850e+01
1.088149999999999977e+02,5.308569096323530090e+01
1.088400000000000034e+02,5.308800041176470330e+01
1.088649999999999949e+02,5.309030986029409860e+01
1.088900000000000006e+02,5.309261930882350100e+01
1.089150000000000063e+02,5.309492875735290340e+01
1.089399999999999977e+02,5.309723820588239818e+01
1.089650000000000034e+02,5.309954765441180058e+01
1.089899999999999949e+02,5.310185710294120298e+01
1.090150000000000006e+02,5.310416655147059828e+01
1.090400000000000063e+02,5.310647600000000068e+01
1.090649999999999977e+02,5.311237367361110273e+01
1.090900000000000034e+02,5.311827134722219768e+01
1.091149999999999949e+02,5.312416902083329973e+01
1.091400000000000006e+02,5.313006669444440178e+01
1.091650000000000063e+02,5.313596436805560330e+01
1.091899999999999977e+02,5.314186204166669825e+01
1.092150000000000034e+02,5.314775971527780030e+01
1.092399999999999949e+02,5.315365738888890235e+01
1.092650000000000006e+02,5.315955506249999729e+01
1.092900000000000063e+02,5.316545273611109934e+01
1.093149999999999977e+02,5.317135040972220139e+01
1.093400000000000034e+02,5.317724808333330344e+01
1.093649999999999949e+02,5.318314575694439839e+01
1.093900000000000006e+02,5.318904343055559991e+01
1.094150000000000063e+02,5.319494110416670196e+01
1.094399999999999977e+02,5.320083877777779691e+01
1.094650000000000034e+02,5.320673645138889896e+01
1.094899999999999949e+02,5.321263412500000101e+01
1.095150000000000006e+02,5.321853179861110306e+01
1.095649999999999977e+02,5.323032714583330005e+01
1.095900000000000034e+02,5.323622481944440210e+01
1.096149999999999949e+02,5.324212249305559652e+01
1.096400000000000006e+02,5.324802016666669857e+01
1.096650000000000063e+02,5.325391784027780062e+01
1.096899999999999977e+02,5.325981551388890267e+01
1.097150000000000034e+02,5.326571318749999762e+01
1.097399999999999949e+02,5.327161086111109967e+01
1.097650000000000006e+02,5.327686650817440039e+01
1.097900000000000063e+02,5.327955404904629688e+01
1.098149999999999977e+02,5.328224158991820048e+01
1.098400000000000034e+02,5.328492913079020354e+01
1.098649999999999949e+02,5.328761667166210003e+01
1.098900000000000006e+02,5.329030421253410310e+01
1.099150000000000063e+02,5.329299175340599959e+01
1.099399999999999977e+02,5.329567929427790318e+01
1.099650000000000034e+02,5.329836683514989915e+01
1.099899999999999949e+02,5.330105437602180274e+01
1.100150000000000006e+02,5.330374191689369923e+01
1.100400000000000063e+02,5.330642945776570230e+01
1.100649999999999977e+02,5.330911699863759878e+01
1.100900000000000034e+02,5.331180453950950238e+01
1.101149999999999949e+02,5.331449208038149834e+01
1.101400000000000006e+02,5.331717962125340193e+01
1.101650000000000063e+02,5.331986716212529842e+01
1.101899999999999977e+02,5.332255470299730149e+01
1.102150000000000034e+02,5.332524224386919798e+01
1.102399999999999949e+02,5.332792978474110157e+01
1.102650000000000006e+02,5.333061732561309753e+01
1.102900000000000063e+02,5.333330486648500113e+01
1.103149999999999977e+02,5.333599240735699709e+01
1.103400000000000034e+02,5.333867994822890068e+01
1.103649999999999949e+02,5.334136748910079717e+01
1.103900000000000006e+02,5.334405502997280024e+01
1.104150000000000063e+02,5.334674257084469673e+01
1.104399999999999977e+02,5.334943011171660032e+01
1.104650000000000034e+02,5.335211765258860339e+01
1.104899999999999949e+02,5.335480519346049988e+01
1.105150000000000006e+02,5.335749273433240347e+01
1.105400000000000063e+02,5.336018027520439944e+01
1.105649999999999977e+02,5.336286781607630303e+01
1.105900000000000034e+02,5.336555535694819952e+01
1.106149999999999949e+02,5.336824289782020259e+01
1.106400000000000006e+02,5.337093043869209907e+01
1.106650000000000063e+02,5.337361797956400267e+01
1.106899999999999977e+02,5.337630552043599863e+01
1.107150000000000034e+02,5.337899306130790222e+01
1.107399999999999949e+02,5.338168060217979871e+01
1.107650000000000006e+02,5.338436814305180178e+01
1.107900000000000063e+02,5.338705568392369827e+01
1.108149999999999977e+02,5.338974322479560186e+01
